partID,trial,dft,class,gtsize,partsize,accuracy
p17,3,0.1051,borderline,BIG,BIG,1
p17,4,0.0648,borderline,BIG,BIG,1
p17,5,0.0339,borderline,BIG,BIG,1
p17,6,0.0596,borderline,SMALL,BIG,0
p17,7,0.1096,borderline,SMALL,BIG,0
p17,8,0.0314,borderline,SMALL,BIG,0
p17,9,0.1433,borderline,SMALL,BIG,0
p17,10,0.1655,borderline,SMALL,BIG,0
p17,11,0.2329,clearcut,BIG,BIG,1
p17,12,0.2341,clearcut,BIG,BIG,1
p17,13,0.2451,clearcut,BIG,BIG,1
p17,14,0.2091,clearcut,BIG,BIG,1
p17,15,0.4643,clearcut,SMALL,SMALL,1
p17,16,0.6826,clearcut,SMALL,SMALL,1
p17,17,0.5112,clearcut,SMALL,SMALL,1
p17,18,0.5763,clearcut,SMALL,SMALL,1
p17,19,0.5002,clearcut,SMALL,BIG,0
p17,20,0.2205,clearcut,BIG,BIG,1
p18,1,0.0543,borderline,BIG,BIG,1
p18,2,0.0653,borderline,BIG,BIG,1
p18,3,0.1051,borderline,BIG,BIG,1
p18,4,0.0648,borderline,BIG,BIG,1
p18,5,0.0339,borderline,BIG,BIG,1
p18,6,0.0596,borderline,SMALL,SMALL,1
p18,7,0.1096,borderline,SMALL,SMALL,1
p18,8,0.0314,borderline,SMALL,BIG,0
p18,9,0.1433,borderline,SMALL,SMALL,1
p18,10,0.1655,borderline,SMALL,SMALL,1
p18,11,0.2329,clearcut,BIG,SMALL,0
p18,12,0.2341,clearcut,BIG,BIG,1
p18,13,0.2451,clearcut,BIG,BIG,1
p18,14,0.2091,clearcut,BIG,BIG,1
p18,15,0.4643,clearcut,SMALL,SMALL,1
p18,16,0.6826,clearcut,SMALL,SMALL,1
p18,17,0.5112,clearcut,SMALL,BIG,0
p18,18,0.5763,clearcut,SMALL,SMALL,1
p18,19,0.5002,clearcut,SMALL,SMALL,1
p18,20,0.2205,clearcut,BIG,BIG,1
p19,1,0.0543,borderline,BIG,BIG,1
p19,2,0.0653,borderline,BIG,BIG,1
p19,3,0.1051,borderline,BIG,SMALL,0
p19,4,0.0648,borderline,BIG,BIG,1
p19,5,0.0339,borderline,BIG,BIG,1
p19,6,0.0596,borderline,SMALL,BIG,0
p19,7,0.1096,borderline,SMALL,BIG,0
p19,8,0.0314,borderline,SMALL,BIG,0
p19,9,0.1433,borderline,SMALL,SMALL,1
p19,10,0.1655,borderline,SMALL,BIG,0
p19,11,0.2329,clearcut,BIG,BIG,1
p19,12,0.2341,clearcut,BIG,BIG,1
p19,13,0.2451,clearcut,BIG,BIG,1
p19,14,0.2091,clearcut,BIG,BIG,1
p19,15,0.4643,clearcut,SMALL,SMALL,1
p19,16,0.6826,clearcut,SMALL,SMALL,1
p19,17,0.5112,clearcut,SMALL,SMALL,1
p19,18,0.5763,clearcut,SMALL,SMALL,1
p19,19,0.5002,clearcut,SMALL,SMALL,1
p19,20,0.2205,clearcut,BIG,BIG,1
p20,1,0.0543,borderline,BIG,BIG,1
p20,2,0.0653,borderline,BIG,BIG,1
p20,3,0.1051,borderline,BIG,BIG,1
p20,4,0.0648,borderline,BIG,BIG,1
p20,5,0.0339,borderline,BIG,BIG,1
p20,6,0.0596,borderline,SMALL,BIG,0
p20,7,0.1096,borderline,SMALL,SMALL,1
p20,8,0.0314,borderline,SMALL,BIG,0
p20,9,0.1433,borderline,SMALL,BIG,0
p20,10,0.1655,borderline,SMALL,SMALL,1
p20,11,0.2329,clearcut,BIG,BIG,1
p20,12,0.2341,clearcut,BIG,BIG,1
p20,13,0.2451,clearcut,BIG,BIG,1
p20,14,0.2091,clearcut,BIG,BIG,1
p20,15,0.4643,clearcut,SMALL,SMALL,1
p20,16,0.6826,clearcut,SMALL,SMALL,1
p20,17,0.5112,clearcut,SMALL,SMALL,1
p20,18,0.5763,clearcut,SMALL,SMALL,1
p20,19,0.5002,clearcut,SMALL,BIG,0
p20,20,0.2205,clearcut,BIG,BIG,1
